time,pressure_kPa,dx_px,dy_px,tip_disp_px,tip_disp_mm,curvature_1_per_mm,base_x,base_y,mid_x,mid_y,tip_x,tip_y
1776761896.3984604,1.2745601730782457,0,0,0.0,0.0,0.027875806622844813,189,364,206,298,260,209
1776761896.4561205,1.2713680519234736,0,0,0.0,0.0,0.027875806622844813,189,364,206,298,260,209
1776761896.5131803,1.249410415577042,0,0,0.0,0.0,0.027875806622844813,189,364,206,298,260,209
1776761896.5710044,1.2498231246731126,0,0,0.0,0.0,0.027875806622844813,189,364,206,298,260,209
1776761896.624002,1.2569469374019338,0,0,0.0,0.0,0.027875806622844813,189,364,206,298,260,209
1776761896.6816325,1.25208408122058,0,0,0.0,0.0,0.027875806622844813,189,364,206,298,260,209
1776761896.738801,1.250625224366174,0,0,0.0,0.0,0.027875806622844813,189,364,206,298,260,209
1776761896.7964134,1.2431875673098522,0,0,0.0,0.0,0.027875806622844813,189,364,206,298,260,209
1776761896.8536074,1.2479562701929556,0,0,0.0,0.0,0.027875806622844813,189,364,206,298,260,209
1776761896.9067323,1.2493868810578868,0,0,0.0,0.0,0.027875806622844813,189,364,206,298,260,209
1776761896.9644253,1.263816064317366,0,0,0.0,0.0,0.027875806622844813,189,364,206,298,260,209
1776761897.0213263,1.2611448192952097,0,0,0.0,0.0,0.027875806622844813,189,364,206,298,260,209
1776761897.078281,1.2743434457885627,0,0,0.0,0.0,0.027875806622844813,189,364,206,298,260,209
1776761897.1357613,1.2783030337365688,0,0,0.0,0.0,0.027875806622844813,189,364,206,298,260,209
1776761897.189301,1.2794909101209706,0,0,0.0,0.0,0.027875806622844813,189,364,206,298,260,209
1776761897.2463605,1.279847273036291,0,0,0.0,0.0,0.027875806622844813,189,364,206,298,260,209
1776761897.3037386,1.2799541819108873,0,0,0.0,0.0,0.027875806622844813,189,364,206,298,260,209
1776761897.3612776,1.279986254573266,0,0,0.0,0.0,0.027875806622844813,189,364,206,298,260,209
1776761897.418665,1.3009958763719798,0,0,0.0,0.0,0.027875806622844813,189,364,206,298,260,209
1776761897.4718115,1.2862987629115938,0,0,0.0,0.0,0.027875806622844813,189,364,206,298,260,209
1776761897.5290148,1.267889628873478,0,0,0.0,0.0,0.027875806622844813,189,364,206,298,260,209
1776761897.5865011,1.2413668886620433,0,0,0.0,0.0,0.027875806622844813,189,364,206,298,260,209
1776761897.6440086,1.219410066598613,0,0,0.0,0.0,0.027875806622844813,189,364,206,298,260,209
1776761897.7011771,1.2268230199795838,0,0,0.0,0.0,0.027875806622844813,189,364,206,298,260,209
1776761897.7586198,1.2290469059938751,0,0,0.0,0.0,0.027875806622844813,189,364,206,298,260,209
1776761897.812094,1.2227140717981624,0,0,0.0,0.0,0.027875806622844813,189,364,206,298,260,209
1776761897.8690996,1.2348142215394486,0,0,0.0,0.0,0.027875806622844813,189,364,206,298,260,209
1776761897.9266012,1.2664442664618345,0,0,0.0,0.0,0.027875806622844813,189,364,206,298,260,209
1776761897.9843683,1.3319332799385504,0,0,0.0,0.0,0.027875806622844813,189,364,206,298,260,209
1776761898.040996,1.4915799839815649,0,0,0.0,0.0,0.027875806622844813,189,364,206,298,260,209
1776761898.0944104,1.8124739951944695,0,0,0.0,0.0,0.027875806622844813,189,364,206,298,260,209
1776761898.1520164,2.4127421985583406,0,0,0.0,0.0,0.027875806622844813,189,364,206,298,260,209
1776761898.2088938,3.348822659567502,0,0,0.0,0.0,0.027875806622844813,189,364,206,298,260,209
1776761898.266132,4.581646797870251,0,0,0.0,0.0,0.027875806622844813,189,364,206,298,260,209
1776761898.3245394,6.078494039361075,0,0,0.0,0.0,0.027875806622844813,189,364,206,298,260,209
1776761898.3772516,7.8575482118083215,0,0,0.0,0.0,0.027875806622844813,189,364,206,298,260,209
1776761898.4349244,9.957548211808321,0,0,0.0,0.0,0.027875806622844813,189,364,206,298,260,209
1776761898.492106,12.05754821180832,0,0,0.0,0.0,0.027875806622844813,189,364,206,298,260,209
1776761898.549279,14.157548211808319,0,0,0.0,0.0,0.027875806622844813,189,364,206,298,260,209
1776761898.6068492,15.923264463542495,0,0,0.0,0.0,0.027875806622844813,189,364,206,298,260,209
1776761898.663914,16.452979339062747,0,0,0.0,0.0,0.027875806622844813,189,364,206,298,260,209
1776761898.7210863,16.61189380171882,0,0,0.0,0.0,0.027875806622844813,189,364,206,298,260,209
1776761898.7743452,16.659568140515645,0,0,0.0,0.0,0.027875806622844813,189,364,206,298,260,209
1776761898.8326147,16.67387044215469,0,0,0.0,0.0,0.027875806622844813,189,364,206,298,260,209
1776761898.8893557,16.678161132646405,0,0,0.0,0.0,0.027875806622844813,189,364,206,298,260,209
1776761898.9465134,16.67944833979392,0,0,0.0,0.0,0.027875806622844813,189,364,206,298,260,209
1776761899.0037339,16.679834501938174,0,0,0.0,0.0,0.027875806622844813,189,364,206,298,260,209
1776761899.0570872,16.67995035058145,0,0,0.0,0.0,0.027875806622844813,189,364,206,298,260,209
1776761899.1144755,16.67998510517443,0,0,0.0,0.0,0.027875806622844813,189,364,206,298,260,209
1776761899.1718693,16.67999553155233,0,0,0.0,0.0,0.027875806622844813,189,364,206,298,260,209
1776761899.2292178,16.679998659465696,0,0,0.0,0.0,0.027875806622844813,189,364,206,298,260,209
1776761899.2862997,16.679999597839707,0,0,0.0,0.0,0.027875806622844813,189,364,206,298,260,209
1776761899.3398693,16.67999987935191,0,0,0.0,0.0,0.027875806622844813,189,364,206,298,260,209
1776761899.3974922,16.67999996380557,0,0,0.0,0.0,0.027875806622844813,189,364,206,298,260,209
1776761899.4545968,16.67999998914167,0,0,0.0,0.0,0.027875806622844813,189,364,206,298,260,209
1776761899.5112593,16.6799999967425,0,0,0.0,0.0,0.027875806622844813,189,364,206,298,260,209
1776761899.5686772,16.679999999022748,0,0,0.0,0.0,0.027875806622844813,189,364,206,298,260,209
1776761899.6260393,16.679999999706823,0,0,0.0,0.0,0.027875806622844813,189,364,206,298,260,209
1776761899.6806622,16.679999999912045,0,0,0.0,0.0,0.027875806622844813,189,364,206,298,260,209
1776761899.7369804,16.67999999997361,0,0,0.0,0.0,0.027875806622844813,189,364,206,298,260,209
1776761899.794474,16.67999999999208,0,0,0.0,0.0,0.027875806622844813,189,364,206,298,260,209
1776761899.851339,16.679999999997623,0,0,0.0,0.0,0.027875806622844813,189,364,206,298,260,209
1776761899.9085193,16.679999999999286,0,0,0.0,0.0,0.027875806622844813,189,364,206,298,260,209
1776761899.9625127,16.679999999999783,0,0,0.0,0.0,0.027875806622844813,189,364,206,298,260,209
1776761900.0214424,16.679999999999932,0,0,0.0,0.0,0.027875806622844813,189,364,206,298,260,209
1776761900.0775595,16.67999999999998,0,0,0.0,0.0,0.027875806622844813,189,364,206,298,260,209
1776761900.1342354,16.679999999999993,0,0,0.0,0.0,0.027875806622844813,189,364,206,298,260,209
1776761900.191776,16.679999999999996,0,0,0.0,0.0,0.027875806622844813,189,364,206,298,260,209
1776761900.2485964,16.679999999999996,0,0,0.0,0.0,0.027875806622844813,189,364,206,298,260,209
1776761900.302291,16.679999999999996,0,0,0.0,0.0,0.027875806622844813,189,364,206,298,260,209
1776761900.3597324,16.679999999999996,0,0,0.0,0.0,0.027875806622844813,189,364,206,298,260,209
1776761900.4167483,16.679999999999996,0,0,0.0,0.0,0.027875806622844813,189,364,206,298,260,209
1776761900.474482,16.679999999999996,0,0,0.0,0.0,0.027875806622844813,189,364,206,298,260,209
1776761900.5318043,16.679999999999996,0,0,0.0,0.0,0.027875806622844813,189,364,206,298,260,209
1776761900.5844903,16.679999999999996,0,0,0.0,0.0,0.027875806622844813,189,364,206,298,260,209
1776761900.6419077,16.679999999999996,0,0,0.0,0.0,0.027273709938113327,189,364,206,298,260,208
1776761900.7004423,16.679999999999996,0,0,0.0,0.0,0.027273709938113327,189,364,206,298,260,208
1776761900.7566707,16.679999999999996,0,0,0.0,0.0,0.027273709938113327,189,364,206,298,260,208
1776761900.8141978,16.679999999999996,0,0,0.0,0.0,0.027273709938113327,189,364,206,298,260,208
1776761900.871776,16.679999999999996,0,0,0.0,0.0,0.027273709938113327,189,364,206,298,260,208
1776761900.9249294,16.679999999999996,0,0,0.0,0.0,0.027273709938113327,189,364,206,298,260,208
1776761900.9821007,16.679999999999996,0,0,0.0,0.0,0.027273709938113327,189,364,206,298,260,208
1776761901.0399034,16.679999999999996,0,0,0.0,0.0,0.027273709938113327,189,364,206,298,260,208
1776761901.0968013,16.679999999999996,0,0,0.0,0.0,0.027273709938113327,189,364,206,298,260,208
1776761901.1538649,16.679999999999996,0,0,0.0,0.0,0.027273709938113327,189,364,206,298,260,208
1776761901.2070897,16.679999999999996,0,0,0.0,0.0,0.027273709938113327,189,364,206,298,260,208
1776761901.2650886,16.679999999999996,0,0,0.0,0.0,0.027273709938113327,189,364,206,298,260,208
1776761901.32253,16.679999999999996,0,0,0.0,0.0,0.027273709938113327,189,364,206,298,260,208
1776761901.3792825,16.679999999999996,0,0,0.0,0.0,0.027273709938113327,189,364,206,298,260,208
1776761901.4367225,16.679999999999996,0,0,0.0,0.0,0.027273709938113327,189,364,206,298,260,208
1776761901.4901087,16.679999999999996,0,0,0.0,0.0,0.027273709938113327,189,364,206,298,260,208
1776761901.547936,16.679999999999996,0,0,0.0,0.0,0.027273709938113327,189,364,206,298,260,208
1776761901.6046512,16.679999999999996,0,0,0.0,0.0,0.027273709938113327,189,364,206,298,260,208
1776761901.662116,16.679999999999996,0,0,0.0,0.0,0.027273709938113327,189,364,206,298,260,208
