time,pressure_kPa,dx_px,dy_px,tip_disp_px,tip_disp_mm,curvature_1_per_mm,base_x,base_y,mid_x,mid_y,tip_x,tip_y
1776768455.9565468,2.6325342372037746,0,0,0.0,0.0,0.025148341721638767,188,367,216,274,284,179
1776768456.0133677,2.679760271161129,0,0,0.0,0.0,0.025148341721638767,188,367,216,274,284,179
1776768456.0711522,2.7219280813483353,0,0,0.0,0.0,0.025148341721638767,188,367,216,274,284,179
1776768456.1239295,2.7415784244045005,0,0,0.0,0.0,0.025148341721638767,188,367,216,274,284,179
1776768456.1819174,2.775473527321349,0,0,0.0,0.0,0.025148341721638767,188,367,216,274,284,179
1776768456.2393162,2.8976420581964017,0,0,0.0,0.0,0.025148341721638767,188,367,216,274,284,179
1776768456.2977805,3.116292617458921,0,0,0.0,0.0,0.025148341721638767,188,367,216,274,284,179
1776768456.3541389,3.3778877852376725,0,0,0.0,0.0,0.025148341721638767,188,367,216,274,284,179
1776768456.4072256,3.6733663355712993,0,0,0.0,0.0,0.025148341721638767,188,367,216,274,284,179
1776768456.4645836,4.056009900671389,0,0,0.0,0.0,0.025148341721638767,188,367,216,274,284,179
1776768456.5218556,4.814802970201416,0,0,0.0,0.0,0.025148341721638767,188,367,216,274,284,179
1776768456.579213,6.190440891060425,0,0,0.0,0.0,0.025148341721638767,188,367,216,274,284,179
1776768456.635918,7.688132267318126,0,0,0.0,0.0,0.025148341721638767,188,367,216,274,284,179
1776768456.6937218,9.089439680195436,0,0,0.0,0.0,0.025148341721638767,188,367,216,274,284,179
1776768456.7465572,10.363831904058628,0,0,0.0,0.0,0.025148341721638767,188,367,216,274,284,179
1776768456.8044803,11.362149571217582,0,0,0.0,0.0,0.025148341721638767,188,367,216,274,284,179
1776768456.861739,12.095644871365272,0,0,0.0,0.0,0.025148341721638767,188,367,216,274,284,179
1776768456.9184415,12.616693461409582,0,0,0.0,0.0,0.025148341721638767,188,367,216,274,284,179
1776768456.9761388,13.011008038422869,0,0,0.0,0.0,0.025148341721638767,188,367,216,274,284,179
1776768457.0297587,13.269302411526857,0,2,2.0,0.24330900243309,0.025625870595309987,188,367,216,274,284,180
1776768457.087171,13.43779072345806,0,2,2.0,0.24330900243309,0.025625870595309987,188,367,216,274,284,180
1776768457.1440873,13.551337217037414,0,2,2.0,0.24330900243309,0.025625870595309987,188,367,216,274,284,180
1776768457.201906,13.599401165111226,0,2,2.0,0.24330900243309,0.025625870595309987,188,367,216,274,284,180
1776768457.2589192,13.641820349533365,0,2,2.0,0.24330900243309,0.025625870595309987,188,367,216,274,284,180
1776768457.316604,13.703546104860012,0,2,2.0,0.24330900243309,0.025625870595309987,188,367,216,274,284,180
1776768457.3699145,13.729063831458,0,2,2.0,0.24330900243309,0.025625870595309987,188,367,216,274,284,180
1776768457.426716,13.7647191494374,0,2,2.0,0.24330900243309,0.025625870595309987,188,367,216,274,284,180
1776768457.484799,13.782415744831212,0,2,2.0,0.24330900243309,0.025625870595309987,188,367,216,274,284,180
1776768457.541695,13.787724723449358,0,2,2.0,0.24330900243309,0.025625870595309987,188,367,216,274,284,180
1776768457.5989318,13.796317417034803,0,2,2.0,0.24330900243309,0.025625870595309987,188,367,216,274,284,180
1776768457.6523287,13.812895225110434,0,2,2.0,0.24330900243309,0.025625870595309987,188,367,216,274,284,180
1776768457.7098022,13.817868567533125,0,2,2.0,0.24330900243309,0.025625870595309987,188,367,216,274,284,180
1776768457.7670748,13.79836057025993,0,2,2.0,0.24330900243309,0.025625870595309987,188,367,216,274,284,180
1776768457.8242738,13.799508171077974,0,3,3.0,0.36496350364963503,0.026111916552339076,188,367,216,274,284,181
1776768457.88116,13.764852451323392,0,3,3.0,0.36496350364963503,0.026111916552339076,188,367,216,274,284,181
1776768457.939025,13.768455735397012,0,3,3.0,0.36496350364963503,0.026111916552339076,188,367,216,274,284,181
1776768457.992772,13.769536720619099,0,3,3.0,0.36496350364963503,0.025512147798792267,188,367,216,275,284,181
1776768458.0500507,13.790861016185726,0,3,3.0,0.36496350364963503,0.025512147798792267,188,367,216,275,284,181
1776768458.1067576,13.797258304855713,0,3,3.0,0.36496350364963503,0.025512147798792267,188,367,216,275,284,181
1776768458.164492,13.806177491456715,0,3,3.0,0.36496350364963503,0.025512147798792267,188,367,216,275,284,181
1776768458.220981,13.794853247437008,0,3,3.0,0.36496350364963503,0.025512147798792267,188,367,216,275,284,181
1776768458.2748744,13.833455974231097,0,3,3.0,0.36496350364963503,0.025512147798792267,188,367,216,275,284,181
1776768458.3324904,13.838036792269332,0,3,3.0,0.36496350364963503,0.025512147798792267,188,367,216,275,284,181
1776768458.3891335,13.8394110376808,0,3,3.0,0.36496350364963503,0.025512147798792267,188,367,216,275,284,181
1776768458.4467065,13.839823311304244,0,3,3.0,0.36496350364963503,0.025512147798792267,188,367,216,275,284,181
1776768458.5046558,13.832946993391271,0,3,3.0,0.36496350364963503,0.025512147798792267,188,367,216,275,284,181
1776768458.5617206,13.837884098017383,0,3,3.0,0.36496350364963503,0.025512147798792267,188,367,216,275,284,181
1776768458.6150105,13.832365229405212,0,3,3.0,0.36496350364963503,0.025512147798792267,188,367,216,275,284,181
1776768458.672042,13.830709568821561,0,3,3.0,0.36496350364963503,0.025512147798792267,188,367,216,275,284,181
1776768458.7293518,13.837212870646471,0,3,3.0,0.36496350364963503,0.025512147798792267,188,367,216,275,284,181
1776768458.7864797,13.832163861193939,0,3,3.0,0.36496350364963503,0.025512147798792267,188,367,216,275,284,181
1776768458.8436835,13.823649158358176,0,3,3.0,0.36496350364963503,0.025512147798792267,188,367,216,275,284,181
1776768458.8974836,13.835094747507455,0,3,3.0,0.36496350364963503,0.025512147798792267,188,367,216,275,284,181
1776768458.9544446,13.852528424252235,0,3,3.0,0.36496350364963503,0.025512147798792267,188,367,216,275,284,181
1776768459.012428,13.850758527275666,0,3,3.0,0.36496350364963503,0.025512147798792267,188,367,216,275,284,181
1776768459.0703502,13.836227558182696,0,3,3.0,0.36496350364963503,0.025512147798792267,188,367,216,275,284,181
1776768459.1269407,13.810868267454804,0,3,3.0,0.36496350364963503,0.025512147798792267,188,367,216,275,284,181
1776768459.1800194,13.789260480236443,0,3,3.0,0.36496350364963503,0.025512147798792267,188,367,216,275,284,181
1776768459.237541,13.789778144070926,0,3,3.0,0.36496350364963503,0.025512147798792267,188,367,216,275,284,181
1776768459.2949357,13.796933443221274,0,3,3.0,0.36496350364963503,0.025512147798792267,188,367,216,275,284,181
1776768459.352848,13.792080032966375,0,3,3.0,0.36496350364963503,0.025512147798792267,188,367,216,275,284,181
1776768459.4094474,13.81862400988991,0,3,3.0,0.36496350364963503,0.025512147798792267,188,367,216,275,284,181
1776768459.4667535,13.812587202966974,0,3,3.0,0.36496350364963503,0.025512147798792267,188,367,216,275,284,181
1776768459.520028,13.852776160890095,0,3,3.0,0.36496350364963503,0.025512147798792267,188,367,216,275,284,181
1776768459.5770473,13.850832848267023,0,3,3.0,0.36496350364963503,0.025512147798792267,188,367,216,275,284,181
1776768459.6345892,13.8502498544801,0,3,3.0,0.36496350364963503,0.025512147798792267,188,367,216,275,284,181
1776768459.6921566,13.864074956344034,0,3,3.0,0.36496350364963503,0.025512147798792267,188,367,216,275,284,181
