time,pressure_kPa,dx_px,dy_px,tip_disp_px,tip_disp_mm,curvature_1_per_mm,base_x,base_y,mid_x,mid_y,tip_x,tip_y
1776750735.2063844,0.0,0,0,0.0,0.0,0.024907411750990743,284,366,299,306,346,218
1776750735.2634566,0.0,0,0,0.0,0.0,0.024907411750990743,284,366,299,306,346,218
1776750735.3209171,0.0,0,0,0.0,0.0,0.024907411750990743,284,366,299,306,346,218
1776750735.3783348,0.0,0,0,0.0,0.0,0.024907411750990743,284,366,299,306,346,218
1776750735.4319422,0.0,0,0,0.0,0.0,0.024907411750990743,284,366,299,306,346,218
1776750735.4890969,0.0,0,0,0.0,0.0,0.024907411750990743,284,366,299,306,346,218
1776750735.5466592,0.0,0,0,0.0,0.0,0.024907411750990743,284,366,299,306,346,218
1776750735.6035502,0.0,0,0,0.0,0.0,0.024907411750990743,284,366,299,306,346,218
1776750735.6569977,0.0,0,0,0.0,0.0,0.024907411750990743,284,366,299,306,346,218
1776750735.7143228,0.0,0,0,0.0,0.0,0.024907411750990743,284,366,299,306,346,218
1776750735.7711256,0.0,0,0,0.0,0.0,0.024907411750990743,284,366,299,306,346,218
1776750735.8289866,0.0,0,0,0.0,0.0,0.024907411750990743,284,366,299,306,346,218
1776750735.8864121,0.0,0,0,0.0,0.0,0.024907411750990743,284,366,299,306,346,218
1776750735.9395323,0.0,0,0,0.0,0.0,0.024907411750990743,284,366,299,306,346,218
1776750735.9969895,0.0,0,0,0.0,0.0,0.024907411750990743,284,366,299,306,346,218
1776750736.0538256,0.0,0,0,0.0,0.0,0.024907411750990743,284,366,299,306,346,218
1776750736.11127,0.0,0,0,0.0,0.0,0.024907411750990743,284,366,299,306,346,218
1776750736.168344,0.0,0,0,0.0,0.0,0.024907411750990743,284,366,299,306,346,218
1776750736.2217338,0.0,0,0,0.0,0.0,0.024907411750990743,284,366,299,306,346,218
1776750736.2795901,0.0,0,0,0.0,0.0,0.024907411750990743,284,366,299,306,346,218
1776750736.3365355,0.0,0,0,0.0,0.0,0.024907411750990743,284,366,299,306,346,218
1776750736.393703,0.0,0,0,0.0,0.0,0.024907411750990743,284,366,299,306,346,218
