time,pressure_kPa,dx_px,dy_px,tip_disp_px,tip_disp_mm,curvature_1_per_mm,base_x,base_y,mid_x,mid_y,tip_x,tip_y
1776738827.322322,0.0,0,0,0.0,0.0,0.03501642655138324,284,366,323,266,420,185
1776738827.3520048,0.0,0,0,0.0,0.0,0.03501642655138324,284,366,323,266,420,185
1776738827.3816433,0.0,0,0,0.0,0.0,0.03501642655138324,284,366,323,266,420,185
1776738827.399191,0.0,0,0,0.0,0.0,0.03501642655138324,284,366,323,266,420,185
1776738827.4251015,0.0,0,0,0.0,0.0,0.03501642655138324,284,366,323,266,420,185
1776738827.455879,0.0,0,0,0.0,0.0,0.03501642655138324,284,366,323,266,420,185
1776738827.4873035,0.0,0,0,0.0,0.0,0.03501642655138324,284,366,323,266,420,185
1776738827.5199225,0.0,0,0,0.0,0.0,0.03501642655138324,284,366,323,266,420,185
1776738827.5523758,0.0,0,0,0.0,0.0,0.03501642655138324,284,366,323,266,420,185
1776738827.5838058,0.0,0,0,0.0,0.0,0.03501642655138324,284,366,323,266,420,185
1776738827.6141393,0.0,0,0,0.0,0.0,0.03501642655138324,284,366,323,266,420,185
1776738827.648501,0.0,0,0,0.0,0.0,0.03501642655138324,284,366,323,266,420,185
1776738827.6813042,0.0,0,0,0.0,0.0,0.03501642655138324,284,366,323,266,420,185
1776738827.7094073,0.0,0,0,0.0,0.0,0.03501642655138324,284,366,323,266,420,185
1776738827.7440934,0.0,0,0,0.0,0.0,0.03501642655138324,284,366,323,266,420,185
1776738827.7954202,0.0,0,0,0.0,0.0,0.03501642655138324,284,366,323,266,420,185
1776738827.823165,0.0,0,0,0.0,0.0,0.03501642655138324,284,366,323,266,420,185
1776738827.8580148,0.0,0,0,0.0,0.0,0.03501642655138324,284,366,323,266,420,185
1776738827.8892922,0.0,0,0,0.0,0.0,0.03501642655138324,284,366,323,266,420,185
1776738827.9207852,0.0,0,0,0.0,0.0,0.03501642655138324,284,366,323,266,420,185
1776738827.9512703,0.0,0,0,0.0,0.0,0.03501642655138324,284,366,323,266,420,185
1776738827.984888,0.0,0,0,0.0,0.0,0.03501642655138324,284,366,323,266,420,185
1776738828.0162628,0.0,0,0,0.0,0.0,0.03501642655138324,284,366,323,266,420,185
1776738828.0478914,0.0,0,0,0.0,0.0,0.03501642655138324,284,366,323,266,420,185
1776738828.079444,0.0,0,0,0.0,0.0,0.03501642655138324,284,366,323,266,420,185
1776738828.1117702,0.0,0,0,0.0,0.0,0.03501642655138324,284,366,323,266,420,185
1776738828.1586,0.0,0,0,0.0,0.0,0.03501642655138324,284,366,323,266,420,185
1776738828.1910887,0.0,0,0,0.0,0.0,0.03501642655138324,284,366,323,266,420,185
1776738828.223957,0.0,0,0,0.0,0.0,0.03501642655138324,284,366,323,266,420,185
1776738828.2543087,0.0,0,0,0.0,0.0,0.03501642655138324,284,366,323,266,420,185
1776738828.2867959,0.0,0,0,0.0,0.0,0.03501642655138324,284,366,323,266,420,185
1776738828.320105,0.0,0,0,0.0,0.0,0.03501642655138324,284,366,323,266,420,185
1776738828.3568196,0.0,0,0,0.0,0.0,0.03501642655138324,284,366,323,266,420,185
