time,pressure_kPa,dx_px,dy_px,tip_disp_px,tip_disp_mm,curvature_1_per_mm,base_x,base_y,mid_x,mid_y,tip_x,tip_y
1776738506.9791324,0.0,0,0,0.0,0.0,0.03557686068588663,285,366,323,267,420,186
1776738507.0065298,0.0,0,0,0.0,0.0,0.03557686068588663,285,366,323,267,420,186
1776738507.027568,0.0,0,0,0.0,0.0,0.03557686068588663,285,366,323,267,420,186
1776738507.0715084,0.0,0,0,0.0,0.0,0.03557686068588663,285,366,323,267,420,186
1776738507.10383,0.0,0,0,0.0,0.0,0.03557686068588663,285,366,323,267,420,186
1776738507.1389847,0.0,0,0,0.0,0.0,0.03557686068588663,285,366,323,267,420,186
1776738507.169738,0.0,0,0,0.0,0.0,0.03557686068588663,285,366,323,267,420,186
1776738507.200843,0.0,0,0,0.0,0.0,0.03557686068588663,285,366,323,267,420,186
1776738507.2329173,0.0,0,0,0.0,0.0,0.03557686068588663,285,366,323,267,420,186
1776738507.264063,0.0,0,0,0.0,0.0,0.03557686068588663,285,366,323,267,420,186
1776738507.2961056,0.0,0,0,0.0,0.0,0.03557686068588663,285,366,323,267,420,186
1776738507.3287966,0.0,0,0,0.0,0.0,0.03557686068588663,285,366,323,267,420,186
1776738507.3663788,0.0,0,0,0.0,0.0,0.03557686068588663,285,366,323,267,420,186
1776738507.3944075,0.0,0,0,0.0,0.0,0.03557686068588663,285,366,323,267,420,186
1776738507.4268677,0.0,0,0,0.0,0.0,0.03557686068588663,285,366,323,267,420,186
1776738507.4753048,0.0,0,0,0.0,0.0,0.03557686068588663,285,366,323,267,420,186
1776738507.5053225,0.0,0,0,0.0,0.0,0.03557686068588663,285,366,323,267,420,186
1776738507.5372064,0.0,0,0,0.0,0.0,0.03557686068588663,285,366,323,267,420,186
1776738507.5671341,0.0,0,0,0.0,0.0,0.03557686068588663,285,366,323,267,420,186
1776738507.5987442,0.0,0,0,0.0,0.0,0.03557686068588663,285,366,323,267,420,186
1776738507.631898,0.0,0,0,0.0,0.0,0.03557686068588663,285,366,323,267,420,186
1776738507.6651328,0.0,0,0,0.0,0.0,0.03557686068588663,285,366,323,267,420,186
1776738507.7002287,0.0,0,0,0.0,0.0,0.03557686068588663,285,366,323,267,420,186
1776738507.7295222,0.0,0,0,0.0,0.0,0.03557686068588663,285,366,323,267,420,186
1776738507.7625284,0.0,0,0,0.0,0.0,0.03557686068588663,285,366,323,267,420,186
1776738507.7923539,0.0,0,0,0.0,0.0,0.03557686068588663,285,366,323,267,420,186
1776738507.84102,0.0,0,0,0.0,0.0,0.03557686068588663,285,366,323,267,420,186
1776738507.874107,0.0,0,0,0.0,0.0,0.03557686068588663,285,366,323,267,420,186
1776738507.9051373,0.0,0,0,0.0,0.0,0.03557686068588663,285,366,323,267,420,186
1776738507.9365563,0.0,0,0,0.0,0.0,0.03557686068588663,285,366,323,267,420,186
1776738507.9709136,0.0,0,0,0.0,0.0,0.03557686068588663,285,366,323,267,420,186
1776738508.002798,0.0,0,0,0.0,0.0,0.03557686068588663,285,366,323,267,420,186
1776738508.0306025,0.0,0,0,0.0,0.0,0.03557686068588663,285,366,323,267,420,186
1776738508.066431,0.0,0,0,0.0,0.0,0.03557686068588663,285,366,323,267,420,186
1776738508.0984492,0.0,0,0,0.0,0.0,0.03557686068588663,285,366,323,267,420,186
1776738508.128514,0.0,0,0,0.0,0.0,0.03557686068588663,285,366,323,267,420,186
1776738508.1609886,0.0,0,0,0.0,0.0,0.03557686068588663,285,366,323,267,420,186
1776738508.1933055,0.0,0,0,0.0,0.0,0.03557686068588663,285,366,323,267,420,186
1776738508.2416036,0.0,0,0,0.0,0.0,0.03557686068588663,285,366,323,267,420,186
1776738508.2735202,0.0,0,0,0.0,0.0,0.03557686068588663,285,366,323,267,420,186
1776738508.3060617,0.0,0,0,0.0,0.0,0.03557686068588663,285,366,323,267,420,186
1776738508.3372533,0.0,0,0,0.0,0.0,0.03557686068588663,285,366,323,267,420,186
1776738508.3697703,0.0,0,0,0.0,0.0,0.03557686068588663,285,366,323,267,420,186
1776738508.3985188,0.0,0,0,0.0,0.0,0.03557686068588663,285,366,323,267,420,186
1776738508.433448,0.0,0,0,0.0,0.0,0.03557686068588663,285,366,323,267,420,186
1776738508.4683597,0.0,0,0,0.0,0.0,0.03557686068588663,285,366,323,267,420,186
1776738508.5140986,0.0,0,0,0.0,0.0,0.03557686068588663,285,366,323,267,420,186
1776738508.5479162,0.0,0,0,0.0,0.0,0.03557686068588663,285,366,323,267,420,186
1776738508.5756848,0.0,0,0,0.0,0.0,0.03557686068588663,285,366,323,267,420,186
1776738508.5932806,0.0,0,0,0.0,0.0,0.03557686068588663,285,366,323,267,420,186
1776738508.6393914,0.0,0,0,0.0,0.0,0.03557686068588663,285,366,323,267,420,186
1776738508.672568,0.0,0,0,0.0,0.0,0.03557686068588663,285,366,323,267,420,186
1776738508.704639,0.0,0,0,0.0,0.0,0.03557686068588663,285,366,323,267,420,186
1776738508.7369301,0.0,0,0,0.0,0.0,0.03557686068588663,285,366,323,267,420,186
1776738508.7678912,0.0,0,0,0.0,0.0,0.03557686068588663,285,366,323,267,420,186
1776738508.8013492,0.0,0,0,0.0,0.0,0.03557686068588663,285,366,323,267,420,186
1776738508.831834,0.0,0,0,0.0,0.0,0.03557686068588663,285,366,323,267,420,186
1776738508.8631685,0.0,0,0,0.0,0.0,0.03557686068588663,285,366,323,267,420,186
1776738508.8953118,0.0,0,0,0.0,0.0,0.03557686068588663,285,366,323,267,420,186
1776738508.9274552,0.0,0,0,0.0,0.0,0.03557686068588663,285,366,323,267,420,186
1776738508.9631274,0.0,0,0,0.0,0.0,0.03557686068588663,285,366,323,267,420,186
1776738508.9940748,0.0,0,0,0.0,0.0,0.03557686068588663,285,366,323,267,420,186
1776738509.0402665,0.0,0,0,0.0,0.0,0.03557686068588663,285,366,323,267,420,186
1776738509.0626411,0.0,0,0,0.0,0.0,0.03557686068588663,285,366,323,267,420,186
1776738509.104804,0.0,0,0,0.0,0.0,0.03557686068588663,285,366,323,267,420,186
1776738509.135591,0.0,0,0,0.0,0.0,0.03557686068588663,285,366,323,267,420,186
1776738509.1679156,0.0,0,0,0.0,0.0,0.03557686068588663,285,366,323,267,420,186
1776738509.1998005,0.0,0,0,0.0,0.0,0.03557686068588663,285,366,323,267,420,186
1776738509.2329001,0.0,0,0,0.0,0.0,0.03557686068588663,285,366,323,267,420,186
1776738509.264433,0.0,0,0,0.0,0.0,0.03557686068588663,285,366,323,267,420,186
1776738509.2974875,0.0,0,0,0.0,0.0,0.03557686068588663,285,366,323,267,420,186
1776738509.3279302,0.0,0,0,0.0,0.0,0.03557686068588663,285,366,323,267,420,186
1776738509.3605287,0.0,0,0,0.0,0.0,0.03557686068588663,285,366,323,267,420,186
1776738509.4079518,0.0,0,0,0.0,0.0,0.03557686068588663,285,366,323,267,420,186
1776738509.4402459,0.0,0,0,0.0,0.0,0.03557686068588663,285,366,323,267,420,186
1776738509.465045,0.0,0,0,0.0,0.0,0.03557686068588663,285,366,323,267,420,186
1776738509.50644,0.0,0,0,0.0,0.0,0.03557686068588663,285,366,323,267,420,186
1776738509.5364337,0.0,0,0,0.0,0.0,0.03557686068588663,285,366,323,267,420,186
1776738509.5683036,0.0,0,0,0.0,0.0,0.03557686068588663,285,366,323,267,420,186
1776738509.6003761,0.0,0,0,0.0,0.0,0.03557686068588663,285,366,323,267,420,186
1776738509.6315174,0.0,0,0,0.0,0.0,0.03557686068588663,285,366,323,267,420,186
1776738509.6633708,0.0,0,0,0.0,0.0,0.03557686068588663,285,366,323,267,420,186
1776738509.6959882,0.0,0,0,0.0,0.0,0.03557686068588663,285,366,323,267,420,186
1776738509.7315407,0.0,0,0,0.0,0.0,0.03557686068588663,285,366,323,267,420,186
1776738509.7611754,0.0,0,0,0.0,0.0,0.03557686068588663,285,366,323,267,420,186
1776738509.8091471,0.0,0,0,0.0,0.0,0.03557686068588663,285,366,323,267,420,186
1776738509.8463964,0.0,0,0,0.0,0.0,0.03557686068588663,285,366,323,267,420,186
1776738509.8674657,0.0,0,0,0.0,0.0,0.03557686068588663,285,366,323,267,420,186
1776738509.904526,0.0,0,0,0.0,0.0,0.03557686068588663,285,366,323,267,420,186
1776738509.9363937,0.0,0,0,0.0,0.0,0.03557686068588663,285,366,323,267,420,186
1776738509.9674926,0.0,0,0,0.0,0.0,0.03557686068588663,285,366,323,267,420,186
1776738510.0003874,0.0,0,0,0.0,0.0,0.03557686068588663,285,366,323,267,420,186
1776738510.0315177,0.0,0,0,0.0,0.0,0.03557686068588663,285,366,323,267,420,186
1776738510.072223,0.0,0,0,0.0,0.0,0.03557686068588663,285,366,323,267,420,186
1776738510.0941923,0.0,0,0,0.0,0.0,0.03557686068588663,285,366,323,267,420,186
1776738510.1274302,0.0,0,0,0.0,0.0,0.03557686068588663,285,366,323,267,420,186
1776738510.1638715,0.0,0,0,0.0,0.0,0.03557686068588663,285,366,323,267,420,186
1776738510.2106502,0.0,0,0,0.0,0.0,0.03557686068588663,285,366,323,267,420,186
1776738510.2415724,0.0,0,0,0.0,0.0,0.03557686068588663,285,366,323,267,420,186
1776738510.2628849,0.0,0,0,0.0,0.0,0.03557686068588663,285,366,323,267,420,186
1776738510.304799,0.0,0,0,0.0,0.0,0.03557686068588663,285,366,323,267,420,186
1776738510.336419,0.0,0,0,0.0,0.0,0.03557686068588663,285,366,323,267,420,186
1776738510.369228,0.0,0,0,0.0,0.0,0.03557686068588663,285,366,323,267,420,186
1776738510.4001791,0.0,0,0,0.0,0.0,0.03557686068588663,285,366,323,267,420,186
1776738510.432253,0.0,0,0,0.0,0.0,0.03557686068588663,285,366,323,267,420,186
1776738510.4651234,0.0,0,0,0.0,0.0,0.03557686068588663,285,366,323,267,420,186
1776738510.4956713,0.0,0,0,0.0,0.0,0.03557686068588663,285,366,323,267,420,186
1776738510.5286613,0.0,0,0,0.0,0.0,0.03557686068588663,285,366,323,267,420,186
1776738510.5794399,0.0,0,0,0.0,0.0,0.03557686068588663,285,366,323,267,420,186
1776738510.6076357,0.0,0,0,0.0,0.0,0.03557686068588663,285,366,323,267,420,186
1776738510.6333249,0.0,0,0,0.0,0.0,0.03557686068588663,285,366,323,267,420,186
1776738510.6570172,0.0,0,0,0.0,0.0,0.03557686068588663,285,366,323,267,420,186
1776738510.7031958,0.0,0,0,0.0,0.0,0.03557686068588663,285,366,323,267,420,186
1776738510.7358212,0.0,0,0,0.0,0.0,0.03557686068588663,285,366,323,267,420,186
1776738510.7679849,0.0,0,0,0.0,0.0,0.03557686068588663,285,366,323,267,420,186
1776738510.8052182,0.0,0,0,0.0,0.0,0.03557686068588663,285,366,323,267,420,186
1776738510.8317559,0.0,0,0,0.0,0.0,0.03557686068588663,285,366,323,267,420,186
1776738510.8653922,0.0,0,0,0.0,0.0,0.03557686068588663,285,366,323,267,420,186
1776738510.8979013,0.0,0,0,0.0,0.0,0.03557686068588663,285,366,323,267,420,186
1776738510.9277136,0.0,0,0,0.0,0.0,0.03557686068588663,285,366,323,267,420,186
1776738510.9757893,0.0,0,0,0.0,0.0,0.03557686068588663,285,366,323,267,420,186
1776738511.0091825,0.0,0,0,0.0,0.0,0.03557686068588663,285,366,323,267,420,186
1776738511.032608,0.0,0,0,0.0,0.0,0.03557686068588663,285,366,323,267,420,186
1776738511.0554793,0.0,0,0,0.0,0.0,0.03557686068588663,285,366,323,267,420,186
1776738511.1041784,0.0,0,0,0.0,0.0,0.03557686068588663,285,366,323,267,420,186
1776738511.1352885,0.0,0,0,0.0,0.0,0.03557686068588663,285,366,323,267,420,186
1776738511.166789,0.0,0,0,0.0,0.0,0.03557686068588663,285,366,323,267,420,186
1776738511.200423,0.0,0,0,0.0,0.0,0.03557686068588663,285,366,323,267,420,186
1776738511.232233,0.0,0,0,0.0,0.0,0.03557686068588663,285,366,323,267,420,186
1776738511.265042,0.0,0,0,0.0,0.0,0.03557686068588663,285,366,323,267,420,186
1776738511.2970862,0.0,0,0,0.0,0.0,0.03557686068588663,285,366,323,267,420,186
1776738511.3269753,0.0,0,0,0.0,0.0,0.03557686068588663,285,366,323,267,420,186
1776738511.3775804,0.0,0,0,0.0,0.0,0.03557686068588663,285,366,323,267,420,186
1776738511.409682,0.0,0,0,0.0,0.0,0.03557686068588663,285,366,323,267,420,186
1776738511.4351444,0.0,0,0,0.0,0.0,0.03557686068588663,285,366,323,267,420,186
1776738511.4556859,0.0,0,0,0.0,0.0,0.03557686068588663,285,366,323,267,420,186
1776738511.5028334,0.0,0,0,0.0,0.0,0.03557686068588663,285,366,323,267,420,186
1776738511.537934,0.0,0,0,0.0,0.0,0.03557686068588663,285,366,323,267,420,186
1776738511.567793,0.0,0,0,0.0,0.0,0.03557686068588663,285,366,323,267,420,186
1776738511.6005929,0.0,0,0,0.0,0.0,0.03557686068588663,285,366,323,267,420,186
1776738511.636377,0.0,0,0,0.0,0.0,0.03557686068588663,285,366,323,267,420,186
1776738511.6636147,0.0,0,0,0.0,0.0,0.03557686068588663,285,366,323,267,420,186
1776738511.6951568,0.0,0,0,0.0,0.0,0.03557686068588663,285,366,323,267,420,186
1776738511.7284486,0.0,0,0,0.0,0.0,0.03557686068588663,285,366,323,267,420,186
1776738511.7758744,0.0,0,0,0.0,0.0,0.03557686068588663,285,366,323,267,420,186
1776738511.8248832,0.0,0,0,0.0,0.0,0.03557686068588663,285,366,323,267,420,186
1776738511.841534,0.0,0,0,0.0,0.0,0.03557686068588663,285,366,323,267,420,186
1776738511.8672547,0.0,0,0,0.0,0.0,0.03557686068588663,285,366,323,267,420,186
1776738511.9026158,0.0,0,0,0.0,0.0,0.03557686068588663,285,366,323,267,420,186
1776738511.9373221,0.0,0,0,0.0,0.0,0.03557686068588663,285,366,323,267,420,186
1776738511.9663498,0.0,0,0,0.0,0.0,0.03557686068588663,285,366,323,267,420,186
1776738512.0002322,0.0,0,0,0.0,0.0,0.03557686068588663,285,366,323,267,420,186
1776738512.0460422,0.0,0,0,0.0,0.0,0.03557686068588663,285,366,323,267,420,186
1776738512.0656176,0.0,0,0,0.0,0.0,0.03557686068588663,285,366,323,267,420,186
1776738512.0991955,0.0,0,0,0.0,0.0,0.03557686068588663,285,366,323,267,420,186
1776738512.1447086,0.0,0,0,0.0,0.0,0.03557686068588663,285,366,323,267,420,186
1776738512.1771996,0.0,0,0,0.0,0.0,0.03557686068588663,285,366,323,267,420,186
1776738512.2003329,0.0,0,0,0.0,0.0,0.03557686068588663,285,366,323,267,420,186
1776738512.223983,0.0,0,0,0.0,0.0,0.03557686068588663,285,366,323,267,420,186
1776738512.2430682,0.0,0,0,0.0,0.0,0.03557686068588663,285,366,323,267,420,186
1776738512.3035736,0.0,0,0,0.0,0.0,0.03557686068588663,285,366,323,267,420,186
1776738512.3358057,0.0,0,0,0.0,0.0,0.03557686068588663,285,366,323,267,420,186
1776738512.373329,0.0,0,0,0.0,0.0,0.03557686068588663,285,366,323,267,420,186
